Date,Open,High,Low,Close,Volume
1-Feb-07,1367.07,1382.90,1362.04,1382.90,168200000
31-Jan-07,1374.76,1374.76,1357.87,1360.23,192326000
30-Jan-07,1365.00,1371.59,1360.42,1370.72,161252000
29-Jan-07,1376.48,1378.28,1361.23,1363.10,136329000
26-Jan-07,1372.36,1378.48,1366.10,1371.33,160882000
25-Jan-07,1392.55,1392.55,1379.66,1382.36,157048000
24-Jan-07,1369.96,1383.75,1369.02,1383.06,197926000
23-Jan-07,1353.06,1367.03,1352.50,1363.09,184014000
22-Jan-07,1363.84,1364.67,1348.46,1363.41,190989000
19-Jan-07,1369.09,1372.63,1356.22,1360.56,222672000
18-Jan-07,1378.37,1385.22,1372.93,1383.21,181231000
17-Jan-07,1391.75,1391.75,1369.08,1379.48,205372000
16-Jan-07,1392.00,1393.42,1385.20,1389.71,171336000
15-Jan-07,1396.87,1397.64,1385.81,1390.96,163884000
12-Jan-07,1379.00,1389.00,1372.87,1388.37,213766000
11-Jan-07,1357.57,1375.31,1355.63,1365.31,211751000
10-Jan-07,1372.52,1372.52,1345.08,1355.79,225461000
9-Jan-07,1376.71,1381.99,1367.74,1374.34,216844000
8-Jan-07,1376.76,1384.65,1366.48,1370.81,177591000
5-Jan-07,1398.60,1400.59,1372.36,1385.76,277291000
4-Jan-07,1410.55,1411.12,1388.50,1397.29,241172000
3-Jan-07,1436.42,1437.79,1409.31,1409.35,203207000
2-Jan-07,1438.89,1439.71,1430.06,1435.26,147738000
28-Dec-06,1433.63,1437.48,1425.84,1434.46,160604000
